GENE_SYMBOL,Log_FoldChange,adjLogFoldChange,logCPM,PValue,FDR_adjusted_P.value
TSPAN13,0.036,0.036,4.989,0.784048701,0.948869437
NBR1,-0.036,0.036,6.785,0.783176774,0.948869437
GON7,0.036,0.036,1.365,0.788803511,0.950195151
MCTS1,-0.036,0.036,5.138,0.792733624,0.951185507
CALD1,-0.036,0.036,7.388,0.793427346,0.951419006
KIAA1468,0.036,0.036,4.48,0.795092477,0.951697224
USP9X,-0.036,0.036,6.874,0.794758309,0.951697224
FAM175B,0.036,0.036,4.411,0.796770723,0.95219577
PPP1CC,-0.036,0.036,6.648,0.797889966,0.952800135
PEX1,0.036,0.036,4.064,0.800811804,0.953630495
ISY1,-0.036,0.036,4.381,0.803701062,0.955230812
UBE2C,0.036,0.036,5.455,0.812503814,0.958403418
TRIM11,0.036,0.036,4.916,0.813353101,0.958512969
NAA30,0.036,0.036,4.451,0.816295234,0.959177459
USP21,0.036,0.036,2.624,0.819344979,0.960371553
KIF7,-0.036,0.036,1.989,0.822074595,0.961279457
IQCB1,0.036,0.036,2.998,0.825093356,0.962131146
ATP13A1,0.036,0.036,4.764,0.82963307,0.96324306
CCDC159,0.036,0.036,1.338,0.830962992,0.963476793
DSG3,-0.036,0.036,7.527,0.832883153,0.964290874
ZFC3H1,0.036,0.036,3.724,0.8339598,0.964543488
CHERP,0.036,0.036,3.428,0.836849068,0.965371562
KIAA1524,0.036,0.036,3.36,0.838991661,0.965662805
CYP4V2,0.036,0.036,2.238,0.839708432,0.965915143
DDIAS,0.036,0.036,2.304,0.847501718,0.96857962
CTSV,-0.036,0.036,5.011,0.849103275,0.968911078
PROSER1,0.036,0.036,2.548,0.853405147,0.970745516
CCDC174,-0.036,0.036,3.018,0.862102291,0.9732327
JRKL,-0.036,0.036,2.393,0.86690264,0.975249007
CRY2,0.036,0.036,4.049,0.874101471,0.97863016
CHI3L2,0.036,0.036,-0.546,0.880276304,0.978895355
DKKL1,0.036,0.036,-2.766,0.882267808,0.979417478
SNORA23,-0.036,0.036,1.9,0.8867674,0.980698806
NEXN,-0.036,0.036,0.517,0.896859351,0.984882877
ASB2,-0.036,0.036,-0.505,0.910799797,0.989779866
C7,0.036,0.036,-2.488,0.916147269,0.991437828
SCN3B,-0.036,0.036,-1.352,0.918303995,0.99208549
TMEM74,0.036,0.036,-1.847,0.92346457,0.992937124
VAT1L,0.036,0.036,-3.324,0.929234894,0.995080547
LINC01340,0.036,0.036,-2.805,0.936549214,0.997288888
MIR548F2,0.036,0.036,-3.536,1,1
ESX1,-0.036,0.036,-3.156,1,1
TNFRSF18,0.036,0.036,-2.822,0.992146996,1
SEBOX,-0.036,0.036,-2.615,1,1
SUCLG2-AS1,-0.036,0.036,-1.178,0.94653855,1
LANCL3,-0.036,0.036,-0.509,0.947570665,1
GALK2,0.035,0.035,4.958,0.690324117,0.909557304
MTO1,0.035,0.035,4.898,0.694893593,0.911601581
CRELD2,0.035,0.035,5.022,0.697605349,0.912314648
DMKN,0.035,0.035,6.809,0.7032063,0.915368446
WDR33,0.035,0.035,5.748,0.707425699,0.916928223
F11R,0.035,0.035,8.283,0.71768481,0.921283683
SUPT4H1,0.035,0.035,5.624,0.717848733,0.921353718
BUD13,0.035,0.035,4.46,0.721756362,0.923683818
ZMAT2,0.035,0.035,5.542,0.725851617,0.926461072
DCAF5,-0.035,0.035,4.959,0.72833575,0.926516427
PPT1,0.035,0.035,5.733,0.7306037,0.92729154
CDH1,-0.035,0.035,8.017,0.736135041,0.929787065
TRMU,0.035,0.035,4.27,0.740275259,0.931028673
SF3B2,-0.035,0.035,7.678,0.74242075,0.931643053
WDR77,-0.035,0.035,6.198,0.744886156,0.932688575
DYNLL2,-0.035,0.035,5.58,0.747729339,0.934398789
ERP29,-0.035,0.035,6.267,0.757967976,0.939611649
ULK2,0.035,0.035,4.205,0.761142463,0.940878318
EIF2B2,-0.035,0.035,5.737,0.762663584,0.941524623
GAS5,0.035,0.035,7.475,0.765634719,0.942877947
WDR83OS,-0.035,0.035,6.104,0.766324983,0.943048388
E2F6,0.035,0.035,3.653,0.770311616,0.944088148
RANBP3,-0.035,0.035,5.516,0.771139285,0.944088148
EBNA1BP2,0.035,0.035,6.63,0.779406372,0.94729809
PPIL2,-0.035,0.035,4.679,0.782888052,0.948869437
CDAN1,-0.035,0.035,3.684,0.785122228,0.949145096
CHCHD5,0.035,0.035,3.581,0.789313574,0.950281869
SBF2,-0.035,0.035,4.802,0.800845502,0.953630495
LSM5,-0.035,0.035,4.441,0.80453176,0.95580903
DTX4,-0.035,0.035,4.593,0.807848727,0.956986054
C16orf95,0.035,0.035,0.804,0.817087487,0.959257113
SMARCB1,-0.035,0.035,4.644,0.81986642,0.960416185
SLC30A6,-0.035,0.035,4.551,0.821726316,0.961074556
ZBTB33,0.035,0.035,4.197,0.822891736,0.96162756
FAM200B,-0.035,0.035,3.406,0.824081309,0.961702368
RECK,-0.035,0.035,1.531,0.826421905,0.96240257
GGH,-0.035,0.035,4.136,0.826710894,0.962495808
FAM72B,0.035,0.035,1.435,0.828160517,0.9627817
MYEF2,0.035,0.035,1.479,0.829378754,0.963154209
CHD7,-0.035,0.035,4.907,0.829890327,0.963286013
ACTB,-0.035,0.035,13.298,0.830971589,0.963476793
AAAS,-0.035,0.035,5.751,0.832094472,0.964014534
LARP7,0.035,0.035,3.648,0.832784274,0.964290874
HGH1,-0.035,0.035,3.756,0.833885123,0.964543488
GSTZ1,-0.035,0.035,4.865,0.834735883,0.96496111
PSIP1,-0.035,0.035,3.608,0.83774175,0.965371562
CC2D1A,-0.035,0.035,4.358,0.837494232,0.965371562
SLX1B-SULT1A4,-0.035,0.035,0.859,0.855303619,0.971101395
RPL22L1,-0.035,0.035,6.1,0.865616519,0.974443649
SNORA52,0.035,0.035,1.51,0.868837163,0.976242056
TRPV1,-0.035,0.035,0.742,0.882588946,0.979450729
KLF16,-0.035,0.035,4.623,0.896339631,0.984637846
CKLF-CMTM1,0.035,0.035,-2.571,0.917177359,0.991874941
ZHX1-C8orf76,-0.035,0.035,-0.09,0.91876197,0.992091438
AMY2B,0.035,0.035,0.038,0.922489789,0.992498579
HSD3B2,0.035,0.035,-3.655,1,1
SNORD14D,0.035,0.035,-2.971,1,1
TAS2R3,0.035,0.035,-2.598,1,1
PCDHA3,-0.035,0.035,-2.529,0.986366351,1
STT3A-AS1,0.035,0.035,-1.217,0.976939882,1
LINC00640,-0.035,0.035,-1.272,0.951415943,1
XKR4,-0.035,0.035,-1.157,0.985976486,1
SUPT7L,-0.034,0.034,4.751,0.695494532,0.911886532
SFXN1,0.034,0.034,6.136,0.695572719,0.911886532
UQCRQ,0.034,0.034,6.904,0.711667679,0.918314212
CDK13,0.034,0.034,4.96,0.714254999,0.919356557
KIAA0368,-0.034,0.034,7.189,0.724128945,0.925310584
PPIA,0.034,0.034,10.544,0.728486685,0.926516427
EFEMP1,0.034,0.034,8.185,0.733209026,0.929163635
PXMP2,0.034,0.034,3.535,0.735943139,0.929787065
NPC1,0.034,0.034,6.394,0.738512408,0.930601036
TMEM216,0.034,0.034,2.734,0.742029512,0.931586293
MRPL21,0.034,0.034,5.462,0.742297071,0.931586293
LUZP1,0.034,0.034,7.294,0.747409909,0.934145975
RMND5B,0.034,0.034,4.153,0.753816266,0.937553911
SPG7,-0.034,0.034,5.863,0.75439608,0.937561338
RNPS1,0.034,0.034,6.682,0.755780915,0.938442403
DCPS,0.034,0.034,4.639,0.756443784,0.939003054
FUT1,0.034,0.034,4.203,0.773343771,0.945193181
VPS33B,0.034,0.034,4.639,0.776347392,0.946624805
CDC123,0.034,0.034,6.253,0.780438746,0.947763995
INPP5E,0.034,0.034,3.437,0.786848791,0.949467199
FAM49B,0.034,0.034,5.799,0.786927304,0.949467199
KLHL22,0.034,0.034,4.055,0.795892269,0.951805919
HIBADH,-0.034,0.034,4.828,0.796751627,0.95219577
DBNL,0.034,0.034,7.449,0.79854434,0.952925575
SF1,0.034,0.034,6.1,0.800721426,0.953630495
DMWD,0.034,0.034,4.063,0.805268604,0.956070869
C2orf42,0.034,0.034,3.584,0.805644972,0.95628793
TAX1BP1,0.034,0.034,5.772,0.809472007,0.957428423
AP1G2,-0.034,0.034,5.92,0.811242249,0.957788402
ARRDC1-AS1,-0.034,0.034,3.062,0.813668991,0.958717335
YAF2,0.034,0.034,2.969,0.815498742,0.959092835
SECISBP2L,0.034,0.034,3.97,0.815410753,0.959092835
RFC4,0.034,0.034,3.581,0.816199399,0.959177459
INTS11,-0.034,0.034,5.974,0.817236107,0.959257113
SLC25A44,-0.034,0.034,4.096,0.81785922,0.959582897
SUCLG2,-0.034,0.034,5.118,0.818471081,0.960097955
EME1,0.034,0.034,2.262,0.81997394,0.960444342
MDP1,-0.034,0.034,2.347,0.822173937,0.961294422
MBLAC1,0.034,0.034,0.268,0.837689927,0.965371562
KLF4,0.034,0.034,3.677,0.839124681,0.965662805
E2F8,0.034,0.034,1.055,0.842841577,0.967029448
CLUH,-0.034,0.034,6.505,0.843525887,0.967270303
ATAD3B,0.034,0.034,6.077,0.848417772,0.968829533
IQGAP3,-0.034,0.034,4.993,0.865757923,0.974550834
TONSL,-0.034,0.034,3.701,0.877672282,0.97863016
SCARNA5,0.034,0.034,4.198,0.873463593,0.97863016
STK4-AS1,0.034,0.034,-0.744,0.8887817,0.98113126
SHC3,0.034,0.034,-0.609,0.892366146,0.98339344
ATAD3C,0.034,0.034,0.208,0.892895526,0.983538592
VCPKMT,-0.034,0.034,1.56,0.896761238,0.984882877
ZNF474,0.034,0.034,-2.621,0.896981312,0.984897185
LTV1,-0.034,0.034,3.947,0.903570454,0.987147903
GPR22,0.034,0.034,-1.423,0.932538833,0.995522923
C4orf17,-0.034,0.034,-2.377,0.976922596,1
LINC02159,-0.034,0.034,-0.246,0.954183584,1
AK2,0.033,0.033,7.429,0.683535847,0.90722046
KIAA1191,-0.033,0.033,7.152,0.692319505,0.91021027
LARS2,0.033,0.033,5.608,0.702563887,0.915124992
NCOA4,-0.033,0.033,8.033,0.71937354,0.922420965
GOSR1,0.033,0.033,4.637,0.723030242,0.924598021
IVD,0.033,0.033,4.307,0.72663493,0.926461072
TSSC1,-0.033,0.033,5.227,0.737282056,0.930080686
POP5,0.033,0.033,4.429,0.739270187,0.930814829
BRD8,-0.033,0.033,4.389,0.755604684,0.938328774
MTHFD1,-0.033,0.033,6.314,0.762631359,0.941524623
PTPRK,0.033,0.033,6.914,0.763297554,0.94162059
FAM213A,-0.033,0.033,5.382,0.763666782,0.941728874
S100A16,0.033,0.033,9.767,0.76470268,0.942291771
PFKP,-0.033,0.033,8.94,0.76628449,0.943048388
RPS28,0.033,0.033,7.981,0.769509088,0.9438555
LOC101927151,-0.033,0.033,2.616,0.771928157,0.944607797
DPY19L1,0.033,0.033,4.329,0.774287675,0.945774493
SENP5,0.033,0.033,5.409,0.778559922,0.947120458
RBMX2,-0.033,0.033,4.554,0.778785014,0.94729809
JPX,0.033,0.033,2.595,0.780831019,0.947929455
VPS72,0.033,0.033,5.711,0.781100925,0.94800912
TAF1,-0.033,0.033,4.276,0.783126109,0.948869437
NFU1,-0.033,0.033,4.875,0.791549325,0.950987065
RMDN1,-0.033,0.033,4.828,0.796208659,0.951979298
PIGF,0.033,0.033,2.794,0.798929471,0.953065945
PGAP2,-0.033,0.033,4.173,0.799364343,0.953065945
SNRNP70,-0.033,0.033,6.675,0.800399305,0.953602411
CALML4,0.033,0.033,1.339,0.806439753,0.95643901
FURIN,-0.033,0.033,6.276,0.80840561,0.957135352
UBOX5,0.033,0.033,2.958,0.811989366,0.958290233
NTMT1,-0.033,0.033,5.359,0.812126564,0.958290233
KCTD3,0.033,0.033,4.844,0.815933927,0.959177459
EDC3,0.033,0.033,4.062,0.817025589,0.959257113
VPS4B,-0.033,0.033,6.26,0.820607674,0.960676617
GLYCTK,-0.033,0.033,2.843,0.822049625,0.961279457
RPL18,-0.033,0.033,9.849,0.822652135,0.961560591
NEK2,0.033,0.033,3.153,0.823698922,0.961633515
CDK17,-0.033,0.033,5.607,0.823227176,0.961633515
FAM27C,-0.033,0.033,1.457,0.824613862,0.962020635
PIMREG,-0.033,0.033,3.699,0.825973161,0.962191598
JKAMP,-0.033,0.033,4.77,0.826902082,0.962567059
SH3PXD2B,0.033,0.033,6.085,0.827614401,0.962696399
SSNA1,-0.033,0.033,5.365,0.829954118,0.963286013
SGF29,-0.033,0.033,3.433,0.831246926,0.963476793
C20orf96,-0.033,0.033,-0.382,0.835101818,0.965230436
ETF1,-0.033,0.033,7.5,0.843323894,0.967088597
TMF1,0.033,0.033,4.637,0.8439356,0.967387369
WASH7P,-0.033,0.033,1.12,0.845818615,0.96781473
TIMM17A,0.033,0.033,5.491,0.850002705,0.968911078
ADAMTS1,0.033,0.033,7.225,0.849363623,0.968911078
FAM69B,0.033,0.033,0.168,0.852182489,0.969947302
THOC6,-0.033,0.033,4.041,0.864184759,0.973504377
C11orf74,-0.033,0.033,2.158,0.867631768,0.975624606
L3MBTL1,-0.033,0.033,1.642,0.877511842,0.97863016
SV2A,-0.033,0.033,1.731,0.874178689,0.97863016
HPF1,-0.033,0.033,3.002,0.873841525,0.97863016
CLK4,-0.033,0.033,2.863,0.882052294,0.979345097
TYW3,-0.033,0.033,3.786,0.883865128,0.979940302
LOC105375624,-0.033,0.033,-0.282,0.893189517,0.983538592
ENTPD1,0.033,0.033,0.446,0.894390146,0.98391867
RASSF9,-0.033,0.033,1.981,0.908601976,0.989300162
TMIE,0.033,0.033,-2.102,0.912594881,0.990263223
ACTL7A,0.033,0.033,-3.505,1,1
ATP4A,0.033,0.033,-2.813,1,1
FAM87B,0.033,0.033,-2.359,0.94462848,1
SPATA32,-0.033,0.033,-2.321,0.966583422,1
NDUFC1,0.032,0.032,5.163,0.714245956,0.919356557
KPNA6,0.032,0.032,6.968,0.723464331,0.924886925
PRPSAP2,0.032,0.032,4.798,0.725787677,0.926461072
SNAPIN,0.032,0.032,4.966,0.727540363,0.926516427
MORC3,0.032,0.032,5.934,0.728450514,0.926516427
BANF1,0.032,0.032,5.704,0.737565642,0.930227134
C11orf49,0.032,0.032,4.507,0.739847066,0.931028673
CLIP1,0.032,0.032,5.402,0.740092825,0.931028673
GHITM,0.032,0.032,7.557,0.744866908,0.932688575
COQ5,0.032,0.032,4.692,0.750571441,0.936141836
SMG8,0.032,0.032,5.188,0.751331379,0.936529379
FHOD3,-0.032,0.032,6.087,0.752961801,0.937287909
FKBP4,0.032,0.032,7.943,0.762961555,0.941604545
NDFIP2,-0.032,0.032,6.54,0.765180683,0.9425278
TCF12,0.032,0.032,5.315,0.767065189,0.943150649
SLC50A1,0.032,0.032,5.271,0.772168658,0.94469929
WDR82,-0.032,0.032,6.518,0.772479625,0.944760783
VDAC3,-0.032,0.032,6.671,0.77360708,0.945255007
NAIF1,0.032,0.032,3.045,0.779404137,0.94729809
H2AFZ,0.032,0.032,7.972,0.787785255,0.949728629
SMPD1,-0.032,0.032,3.108,0.794949775,0.951697224
C12orf57,0.032,0.032,5.063,0.794624905,0.951697224
H3F3A,0.032,0.032,7.462,0.800187275,0.953503208
EGLN2,-0.032,0.032,5.971,0.801790883,0.9541857
SCNN1A,0.032,0.032,6.142,0.804711099,0.955919848
LRRK1,-0.032,0.032,4.064,0.805802221,0.95628793
IFI27L2,-0.032,0.032,4.88,0.807662477,0.956923659
TPT1,-0.032,0.032,11.283,0.809817542,0.957531227
PRMT1,0.032,0.032,7.67,0.810193563,0.957602206
MIS18BP1,0.032,0.032,3.619,0.812907405,0.958403418
LINC00998,0.032,0.032,4.8,0.812512383,0.958403418
BCDIN3D,0.032,0.032,2.57,0.8154937,0.959092835
ADCY6,0.032,0.032,4.356,0.816088572,0.959177459
FLAD1,-0.032,0.032,5.507,0.81630307,0.959177459
TIMM22,-0.032,0.032,3.577,0.821492318,0.961010851
PIP5KL1,0.032,0.032,1.677,0.827096688,0.962591834
SDE2,-0.032,0.032,4.616,0.827800314,0.9627817
BICD1,0.032,0.032,2.352,0.829976949,0.963286013
CEP76,-0.032,0.032,3.314,0.831156939,0.963476793
USP37,-0.032,0.032,3.858,0.840247805,0.966054496
CAND1,-0.032,0.032,7.28,0.842278339,0.966854398
BAALC-AS1,-0.032,0.032,0.157,0.844573578,0.967387369
CAPN14,0.032,0.032,1.592,0.844642844,0.967387369
TPRA1,-0.032,0.032,4.833,0.843880629,0.967387369
CYBA,0.032,0.032,5.804,0.844107315,0.967387369
PIGV,-0.032,0.032,3.783,0.847417486,0.968533661
TMCO6,-0.032,0.032,2.809,0.84808415,0.968829533
CCDC28B,-0.032,0.032,2.865,0.848037772,0.968829533
TBX18,-0.032,0.032,1.235,0.851286757,0.969567125
PCK2,0.032,0.032,4.819,0.851465623,0.969567125
SHMT2,-0.032,0.032,7.484,0.855946779,0.971533706
EPHB4,-0.032,0.032,7.386,0.856927037,0.971603845
EPS8L1,-0.032,0.032,4.319,0.859800422,0.972558325
SCARNA17,0.032,0.032,3.612,0.867595945,0.975624606
CD86,0.032,0.032,0.783,0.871870292,0.977855491
CCNK,-0.032,0.032,2.98,0.878326815,0.97863016
SUZ12,-0.032,0.032,4.163,0.880333592,0.978895355
GUCY1A2,0.032,0.032,-2.319,0.886369778,0.980698806
B4GALT1-AS1,0.032,0.032,-0.682,0.885801014,0.980698806
GLMN,-0.032,0.032,2.854,0.893452753,0.98359943
IL20RA,-0.032,0.032,1.436,0.895054961,0.984095321
GIN1,-0.032,0.032,1.825,0.903414549,0.987147903
KAZALD1,-0.032,0.032,-0.15,0.90949146,0.989467101
MIR6780B,0.032,0.032,-3.188,0.921585905,0.992479268
SMAD5-AS1,-0.032,0.032,-1.204,0.924857055,0.993313647
LINC01814,0.032,0.032,-0.337,0.931816356,0.995418932
LOH12CR2,-0.032,0.032,-2.902,1,1
JPT2,-0.031,0.031,8.071,0.706516564,0.916417505
TFG,-0.031,0.031,6.675,0.741830079,0.931584753
LAMC1,0.031,0.031,7.479,0.748182313,0.934445623
MAPKAPK2,0.031,0.031,6.344,0.754269891,0.937553911
ATXN7L3,-0.031,0.031,5.936,0.756765507,0.939221643
AAMDC,0.031,0.031,3.03,0.760729348,0.940878318
DFFA,-0.031,0.031,6.41,0.766000135,0.94300001
ARL6IP4,0.031,0.031,6.887,0.771858162,0.944607797
MSL3,-0.031,0.031,4.471,0.77684774,0.947058755
ZKSCAN2,0.031,0.031,2.515,0.779239937,0.94729809
SLC35B2,-0.031,0.031,6.525,0.78062091,0.947829772
UGGT1,-0.031,0.031,6.282,0.786976154,0.94947457
LOC102725126,0.031,0.031,2.364,0.788294207,0.950135956
ARFIP1,0.031,0.031,4.955,0.793039023,0.951312808
RUFY2,-0.031,0.031,3.719,0.79369941,0.951591149
CREB3L4,0.031,0.031,2.721,0.799391301,0.953065945
DMD,0.031,0.031,3.546,0.80250223,0.95457202
PVR,0.031,0.031,6.752,0.803877355,0.955389227
NDE1,-0.031,0.031,4.876,0.805809075,0.95628793
BTBD6,-0.031,0.031,5.645,0.806415401,0.95643901
DPH6,-0.031,0.031,3.081,0.807738309,0.956925698
ARFGAP3,0.031,0.031,5.25,0.811049745,0.957764398
MRTO4,0.031,0.031,6.007,0.814529148,0.95901871
ATP1A1,-0.031,0.031,7.967,0.814737802,0.959092835
UBE2G2,0.031,0.031,5.292,0.818050737,0.959756912
C1orf27,0.031,0.031,3.504,0.820903291,0.960775357
NCOA1,0.031,0.031,2.098,0.822137042,0.961294422
ZNF554,0.031,0.031,1.65,0.824393555,0.961814128
SHKBP1,0.031,0.031,5.843,0.825957301,0.962191598
MCRS1,-0.031,0.031,6.396,0.828071829,0.9627817
TIMM17B,0.031,0.031,5.04,0.829616325,0.96324306
STYXL1,-0.031,0.031,5.977,0.831112571,0.963476793
PIGK,0.031,0.031,4.088,0.832710379,0.964290874
DNAJC18,-0.031,0.031,3.352,0.833079472,0.964391599
AGO4,-0.031,0.031,3.965,0.837200815,0.965371562
RHBDD2,-0.031,0.031,4.548,0.842476563,0.966865571
B3GNT3,-0.031,0.031,3.693,0.843190228,0.96706601
KCTD13,-0.031,0.031,1.813,0.845136421,0.967718447
TERF1,-0.031,0.031,3.106,0.845182339,0.967721145
POF1B,-0.031,0.031,3.044,0.845670065,0.96781473
BZW1,-0.031,0.031,8.743,0.848384716,0.968829533
GFM1,-0.031,0.031,5.366,0.849887893,0.968911078
PHLDA3,0.031,0.031,6.543,0.850955941,0.969473955
C17orf53,0.031,0.031,2.895,0.851247663,0.969567125
UQCC2,-0.031,0.031,5.863,0.851822829,0.969726563
ATG2A,0.031,0.031,4.403,0.854024552,0.970939377
R3HCC1L,0.031,0.031,3.398,0.854601953,0.970977488
ZNF513,-0.031,0.031,3.339,0.856327041,0.971594365
BLM,0.031,0.031,3.126,0.857850222,0.972158213
DHFR,-0.031,0.031,4.657,0.865065427,0.974020703
PSMD12,-0.031,0.031,5.437,0.869499316,0.976660654
SNORA67,-0.031,0.031,0.56,0.874036777,0.97863016
KLK8,-0.031,0.031,1.582,0.882664243,0.979450729
DNAJB4,-0.031,0.031,3.181,0.88850444,0.980971429
RUVBL2,-0.031,0.031,7.46,0.889999206,0.981617978
PRRT3-AS1,-0.031,0.031,0.129,0.897196465,0.985026989
STAMBPL1,-0.031,0.031,1.922,0.898331274,0.985454015
LOC101929072,-0.031,0.031,-0.39,0.9117291,0.990063713
TSPAN2,-0.031,0.031,-0.102,0.919635947,0.992311665
HSF4,-0.031,0.031,-1.616,0.936747998,0.997311486
C5orf52,-0.031,0.031,-3.721,1,1
EFNA2,-0.031,0.031,-3.532,1,1
LOC101928823,-0.031,0.031,-3.265,0.993845287,1
CYP2B6,0.031,0.031,-2.662,1,1
ABCC6,-0.031,0.031,-2.086,0.960115987,1
SRRM5,-0.031,0.031,-1.563,1,1
ZFP42,-0.031,0.031,-1.347,0.96083228,1
SPAG7,0.03,0.03,5.079,0.727111254,0.926478442
PDPK1,-0.03,0.03,5.145,0.727211118,0.926478442
HNRNPK,-0.03,0.03,9.071,0.742166672,0.931586293
DHRSX,0.03,0.03,4.615,0.753210398,0.937503865
ZPR1,0.03,0.03,6.308,0.76100496,0.940878318
NDUFA2,0.03,0.03,4.789,0.764931721,0.942325635
MRFAP1,0.03,0.03,7.521,0.784463048,0.948869437
RTCA,0.03,0.03,5.192,0.787555421,0.94955461
ATRAID,0.03,0.03,6.247,0.788967841,0.950195151
NEK4,0.03,0.03,4.292,0.790548797,0.950679542
PGM3,0.03,0.03,5.958,0.791986481,0.950987065
ATP6AP2,-0.03,0.03,6.012,0.792761632,0.951185507
L3MBTL2,0.03,0.03,4.951,0.794296994,0.951697224
ZNF207,0.03,0.03,7.718,0.794570558,0.951697224
MRPL51,-0.03,0.03,6.274,0.800446449,0.953607436
E2F4,0.03,0.03,5.786,0.802156281,0.954265994
HMGXB3,-0.03,0.03,6.52,0.804301829,0.955663415
MELTF,-0.03,0.03,5.296,0.804921563,0.956024951
C8orf88,0.03,0.03,0.944,0.805750702,0.95628793
ATPAF1,-0.03,0.03,4.269,0.806419958,0.95643901
PRPF40B,-0.03,0.03,3.711,0.807491465,0.956923659
TUBA1B,0.03,0.03,11.152,0.808037702,0.957010762
MFSD8,0.03,0.03,3.324,0.809019593,0.95725008
SPAG9,0.03,0.03,6.559,0.808867957,0.95725008
KCTD5,0.03,0.03,5.576,0.811467009,0.95795194
RAB35,-0.03,0.03,5.882,0.812549774,0.958403418
CACYBP,0.03,0.03,5.969,0.815396572,0.959092835
GTF2H1,0.03,0.03,5.549,0.819001512,0.960262571
CCT2,-0.03,0.03,8.021,0.82362458,0.961633515
SGPP1,0.03,0.03,4.509,0.826416237,0.96240257
METTL5,-0.03,0.03,4.91,0.828035916,0.9627817
ZNF101,0.03,0.03,3.451,0.829346503,0.963154209
CCS,-0.03,0.03,3.944,0.829429831,0.963154209
ABCB10,0.03,0.03,3.985,0.829072054,0.963154209
CLCN7,0.03,0.03,4.638,0.830832992,0.963476793
TSC22D2,0.03,0.03,4.823,0.832897289,0.964290874
TRPM4,0.03,0.03,4.446,0.833588038,0.964512671
UQCRB,0.03,0.03,6.384,0.834295443,0.964652748
PLIN3,0.03,0.03,7.438,0.836237706,0.965371562
RPS6KA1,0.03,0.03,6.599,0.837840757,0.965434343
DENND4C,-0.03,0.03,5.293,0.839525112,0.965860184
NBEAL2,0.03,0.03,5.259,0.840068191,0.965947974
FGGY,0.03,0.03,3.707,0.84288054,0.967029448
ZFAND1,-0.03,0.03,3.981,0.847603969,0.96859682
ZNF784,0.03,0.03,1.91,0.850087207,0.968942396
TEN1,-0.03,0.03,3.959,0.854370103,0.970977488
NOP58,0.03,0.03,4.776,0.860338642,0.972832944
RCE1,-0.03,0.03,3.439,0.862500494,0.973374577
NOC4L,0.03,0.03,4.465,0.862958988,0.973375675
PPAN,0.03,0.03,4.954,0.866406074,0.974925851
LINC01278,0.03,0.03,0.418,0.87946759,0.97863016
MCM8,-0.03,0.03,3.403,0.876136074,0.97863016
PKD1,0.03,0.03,4.777,0.87535837,0.97863016
NELFE,-0.03,0.03,4.976,0.876361375,0.97863016
SYNE2,-0.03,0.03,5.299,0.876598957,0.97863016
ZNF566,-0.03,0.03,1.227,0.886942668,0.980698806
NMU,-0.03,0.03,0.816,0.889203796,0.981246244
SNAPC4,-0.03,0.03,3.46,0.889052344,0.981246244
LOC105376070,0.03,0.03,0.925,0.894491491,0.98391867
BRICD5,-0.03,0.03,0.039,0.902216182,0.987132214
DBIL5P,-0.03,0.03,-1.418,0.927911245,0.994524643
YBX2,-0.03,0.03,-1.306,0.930882248,0.995319634
HIST2H2BF,-0.03,0.03,7.927,0.93560275,0.997005207
PARD6A,0.03,0.03,-0.987,0.937261785,0.997551602
FGF14-IT1,0.03,0.03,-3.364,1,1
GPR52,0.03,0.03,-3.118,1,1
GPR18,0.03,0.03,-2.457,1,1
CCDC152,-0.03,0.03,-0.827,0.954818671,1
C6orf89,-0.029,0.029,5.958,0.719513885,0.922490965
SLC35D2,0.029,0.029,4.42,0.735094633,0.929722889
SPINT2,0.029,0.029,8.612,0.741467084,0.931529973
RACGAP1,0.029,0.029,6.3,0.75339461,0.937553911
PDAP1,-0.029,0.029,6.62,0.760648007,0.940878318
ENSA,-0.029,0.029,6.789,0.77034936,0.944088148
ATP5F1,0.029,0.029,7.484,0.784784818,0.948994104
ULK4,-0.029,0.029,3.653,0.786026017,0.949371367
ATP5A1,-0.029,0.029,9.035,0.787779858,0.949728629
NENF,0.029,0.029,5.551,0.788795,0.950195151
PLCG1,-0.029,0.029,5.991,0.791646496,0.950987065
WASHC3,0.029,0.029,4.215,0.796194804,0.951979298
AAMP,-0.029,0.029,6.53,0.797329917,0.952397253
PPP1R26,-0.029,0.029,4.462,0.798588507,0.952927092
ARHGEF35,0.029,0.029,4.37,0.799328366,0.953065945
DRG1,-0.029,0.029,6.195,0.799970387,0.953388483
CEP164,0.029,0.029,4.964,0.802007381,0.954265994
TOMM20,0.029,0.029,6.779,0.805148323,0.956070869
FSTL3,0.029,0.029,7.598,0.805600648,0.95628793
TM9SF2,-0.029,0.029,7.332,0.81038382,0.95774201
ANKRD6,0.029,0.029,3.295,0.812080969,0.958290233
RNASEH1,-0.029,0.029,4.321,0.812943768,0.958403418
MOB3B,-0.029,0.029,4.702,0.814312392,0.958865143
MRPS18B,-0.029,0.029,2.969,0.815203685,0.959092835
ZNF557,0.029,0.029,3.649,0.816437819,0.959233373
LMNB1,0.029,0.029,4.791,0.816779593,0.959233373
CD276,0.029,0.029,6.273,0.818799687,0.960229902
GTF3A,0.029,0.029,6.126,0.819491928,0.960382632
MRM2,0.029,0.029,4.221,0.819859393,0.960416185
TMEM14A,0.029,0.029,4.011,0.82050821,0.960610797
